T,M,U
1.0087719298245617, 4092.720933559971, -8179.04
1.0210526315789474, 4092.3610104681625, -8177.84
1.0333333333333334, 4092.020982350897, -8176.44
1.0456140350877194, 4091.70093237519, -8175.08
1.0578947368421054, 4091.12126439684, -8172.76
1.0824561403508774, 4090.341946585884, -8170.4
1.0701754385964914, 4091.1817314805267, -8173.44
1.0947368421052632, 4090.62097486433, -8170.96
1.1070175438596495, 4089.2812962671082, -8165.68
1.1315789473684212, 4087.8423550817124, -8160.48
1.1192982456140352, 4089.3217921802143, -8165.92
1.1438596491228072, 4087.882444493726, -8160.44
1.1561403508771932, 4086.6631131034032, -8155.88
1.1684210526315792, 4087.0025789079214, -8157.32
1.1807017543859653, 4085.2432583629584, -8150.52
1.192982456140351, 4083.96309483815, -8145.96
1.205263157894737, 4084.323336857649, -8146.92
1.217543859649123, 4082.5241897629953, -8140.36
1.229824561403509, 4082.742916226786, -8140.68
1.242105263157895, 4079.8057992997656, -8130
1.254385964912281, 4080.326398708809, -8132.52
1.2666666666666668, 4078.964299917321, -8127
1.2789473684210528, 4077.9452914427384, -8123.72
1.2912280701754388, 4075.606703301976, -8114.52
1.3035087719298248, 4074.525209150141, -8109.76
1.3157894736842108, 4073.485436330907, -8106.56
1.3280701754385968, 4072.206792391565, -8102
1.3403508771929826, 4069.5294469999844, -8092.56
1.3526315789473686, 4068.648325918572, -8088.84
1.3649122807017546, 4064.2687657191177, -8073.76
1.3771929824561406, 4065.92783015144, -8080.56
1.3894736842105266, 4061.331584591438, -8063.56
1.4017543859649126, 4060.3513690319955, -8059.28
1.4140350877192984, 4058.4524341182073, -8052.24
1.4263157894736844, 4056.814188498162, -8047.96
1.4385964912280704, 4056.353786345565, -8045.88
1.4508771929824564, 4051.856749688962, -8029.96
1.4631578947368424, 4048.5981030475227, -8019
1.4754385964912284, 4044.919692651512, -8008
1.4877192982456142, 4045.9197075572324, -8009.8
1.5000000000000002, 4041.522935726086, -7997.36
1.5122807017543862, 4035.8042420315683, -7974.64
1.5245614035087722, 4034.6615124443833, -7972.72
1.5368421052631582, 4030.8614463908334, -7958.56
1.5491228070175442, 4030.069835623199, -7955.36
1.56140350877193, 4024.6467720782653, -7937.16
1.573684210526316, 4021.7303290996524, -7928.56
1.585964912280702, 4016.3175870441323, -7909.96
1.598245614035088, 4016.647622084865, -7910
1.610526315789474, 4006.8636662606827, -7881.88
1.62280701754386, 4009.151062257445, -7886.44
1.6350877192982458, 3997.4313102291076, -7851.72
1.6473684210526318, 3997.7261837199408, -7852
1.6596491228070178, 3989.6695853165584, -7828.36
1.6719298245614038, 3983.4944056694744, -7804.76
1.6842105263157898, 3980.381338515193, -7796.88
1.6964912280701758, 3977.676633413028, -7786.96
